NEW SOUTH WALES,LGA,"Persons, 0-4 yearsNumber",Total persons,%,,"Persons, 5-9 yearsNumber",Total persons,%,,"Persons, 10-14 yearsNumber",Total persons,%,,"Persons, 15-19 yearsNumber",Total persons,%,,"Persons, 20-24 yearsNumber",Total persons,%,,"Persons, 25-29 yearsNumber",Total persons,%,,"Persons, 30-34 yearsNumber",Total persons,%,,"Persons, 35-39 yearsNumber",Total persons,%,,"Persons, 40-44 yearsNumber",Total persons,%,,"Persons, 45-49 yearsNumber",Total persons,%,,"Persons, 50-54 yearsNumber",Total persons,%,,"Persons, 55-59 yearsNumber",Total persons,%,,"Persons, 60-64 yearsNumber",Total persons,%,,"Persons, 65-69 yearsNumber",Total persons,%,,"Persons, 70-74 yearsNumber",Total persons,%,,"Persons, 75-79 yearsNumber",Total persons,%,,"Persons, 80-84 yearsNumber",Total persons,%,,"Persons, 85 years and overNumber",Total persons,%
10050,Albury (C),3689,53767,6.861085796,,3454,53767,6.42401473,,3313,53767,6.161772091,,3308,53767,6.152472706,,3848,53767,7.156806219,,3612,53767,6.717875277,,3336,53767,6.204549259,,3272,53767,6.085517139,,3235,53767,6.016701694,,3430,53767,6.379377685,,3111,53767,5.786076962,,3454,53767,6.42401473,,3105,53767,5.7749177,,2812,53767,5.229973776,,2425,53767,4.510201425,,1774,53767,3.299421578,,1243,53767,2.311826957,,1346,53767,2.503394275
10130,Armidale Regional (A),1802,30707,5.868368776,,1841,30707,5.995375647,,1861,30707,6.060507376,,2685,30707,8.743934608,,3183,30707,10.36571466,,1893,30707,6.164718142,,1844,30707,6.005145407,,1616,30707,5.262643697,,1560,30707,5.080274856,,1786,30707,5.816263393,,1796,30707,5.848829257,,1962,30707,6.389422607,,1732,30707,5.640407725,,1464,30707,4.767642557,,1318,30707,4.292180936,,1011,30707,3.292408897,,652,30707,2.123294363,,701,30707,2.282867099
10250,Ballina (A),2218,44208,5.017191459,,2636,44208,5.962721679,,2606,44208,5.894860659,,2655,44208,6.005700326,,1880,44208,4.252623959,,1771,44208,4.006062251,,2114,44208,4.78193992,,2348,44208,5.311255881,,2474,44208,5.596272168,,2943,44208,6.657166124,,2898,44208,6.555374593,,3271,44208,7.399113283,,3202,44208,7.243032935,,3245,44208,7.340300398,,2749,44208,6.218331524,,1936,44208,4.379297865,,1442,44208,3.261853058,,1820,44208,4.116901918
10300,Balranald (A),165,2340,7.051282051,,154,2340,6.581196581,,168,2340,7.179487179,,131,2340,5.598290598,,165,2340,7.051282051,,129,2340,5.512820513,,117,2340,5,,143,2340,6.111111111,,127,2340,5.427350427,,132,2340,5.641025641,,128,2340,5.47008547,,191,2340,8.162393162,,183,2340,7.820512821,,148,2340,6.324786325,,82,2340,3.504273504,,76,2340,3.247863248,,51,2340,2.179487179,,50,2340,2.136752137
10470,Bathurst Regional (A),2711,43206,6.274591492,,2887,43206,6.681942323,,2931,43206,6.783780031,,3124,43206,7.230477249,,3367,43206,7.792899134,,3019,43206,6.987455446,,2670,43206,6.179697264,,2510,43206,5.809378327,,2527,43206,5.848724714,,2814,43206,6.512984308,,2584,43206,5.980650836,,2668,43206,6.175068278,,2370,43206,5.485349257,,2191,43206,5.071054946,,1802,43206,4.17071703,,1231,43206,2.849141323,,858,43206,1.985835301,,942,43206,2.180252743
10550,Bega Valley (A),1647,34348,4.795039012,,1895,34348,5.517060673,,2007,34348,5.843134971,,1889,34348,5.499592407,,1285,34348,3.741120298,,1326,34348,3.860486782,,1435,34348,4.177826948,,1493,34348,4.346686852,,1653,34348,4.812507278,,2122,34348,6.177943403,,2359,34348,6.867939909,,3033,34348,8.830208455,,3147,34348,9.162105508,,2909,34348,8.469197624,,2458,34348,7.156166298,,1650,34348,4.803773145,,1051,34348,3.059857925,,989,34348,2.87935251
10600,Bellingen (A),620,12963,4.782843478,,840,12963,6.479981486,,864,12963,6.665123814,,757,12963,5.839697601,,382,12963,2.946848723,,493,12963,3.803131991,,539,12963,4.15798812,,646,12963,4.983414333,,689,12963,5.315127671,,901,12963,6.95055157,,910,12963,7.019979943,,1057,12963,8.153976703,,1186,12963,9.149116717,,976,12963,7.529121345,,796,12963,6.140553884,,583,12963,4.497415722,,385,12963,2.969991514,,339,12963,2.615135385
10650,Berrigan (A),444,8707,5.099345354,,498,8707,5.719536006,,535,8707,6.144481452,,422,8707,4.846675089,,333,8707,3.824509016,,423,8707,4.858160101,,415,8707,4.766280005,,412,8707,4.731824968,,446,8707,5.122315378,,503,8707,5.776961066,,472,8707,5.420925692,,579,8707,6.649821982,,667,8707,7.660503044,,790,8707,9.073159527,,669,8707,7.683473068,,467,8707,5.363500632,,318,8707,3.652233835,,314,8707,3.606293787
10750,Blacktown (C),30041,366534,8.195965449,,28638,366534,7.813190591,,25037,366534,6.830744215,,24253,366534,6.616848642,,26029,366534,7.101387593,,27292,366534,7.445966813,,30976,366534,8.451057746,,30769,366534,8.394582767,,25623,366534,6.990620243,,23415,366534,6.388220465,,20711,366534,5.650498999,,19291,366534,5.263086098,,16462,366534,4.491261384,,13521,366534,3.688880158,,10296,366534,2.809016353,,6309,366534,1.721259146,,4159,366534,1.134683276,,3712,366534,1.012730061
10800,Bland (A),348,5985,5.814536341,,430,5985,7.184628237,,438,5985,7.318295739,,348,5985,5.814536341,,309,5985,5.162907268,,275,5985,4.594820384,,304,5985,5.079365079,,332,5985,5.547201337,,358,5985,5.981620718,,343,5985,5.730994152,,347,5985,5.797827903,,451,5985,7.53550543,,416,5985,6.950710109,,356,5985,5.948203843,,300,5985,5.012531328,,241,5985,4.0267335,,175,5985,2.923976608,,214,5985,3.575605681
