Location,FIPS,"Prevalence, 2012, Both Sexes","Prevalence, 2012, Females","Prevalence, 2012, Males"
National,0,14.28,13.02,15.62
Alabama,1,16.19,15.26,17.19
Autauga County,1001,15.45,14.03,16.97
Baldwin County,1003,13.44,11.80,15.19
Barbour County,1005,19.36,18.67,20.10
Bibb County,1007,16.68,15.43,18.00
Blount County,1009,15.06,13.66,16.55
Bullock County,1011,23.33,24.17,22.44
Butler County,1013,18.87,18.47,19.30
Calhoun County,1015,16.51,15.82,17.25
Chambers County,1017,18.45,17.64,19.30
Cherokee County,1019,15.27,14.14,16.47
Chilton County,1021,15.56,14.18,17.04
Choctaw County,1023,19.38,19.06,19.72
Clarke County,1025,18.72,18.05,19.43
Clay County,1027,15.75,14.18,17.42
Cleburne County,1029,15.11,13.69,16.63
Coffee County,1031,15.64,14.17,17.20
Colbert County,1033,16.54,15.58,17.56
Conecuh County,1035,19.90,19.54,20.29
Coosa County,1037,17.71,16.53,18.97
Covington County,1039,15.23,13.97,16.58
Crenshaw County,1041,17.27,16.39,18.21
Cullman County,1043,15.03,13.53,16.63
Dale County,1045,16.78,15.61,18.03
Dallas County,1047,21.94,22.45,21.39
DeKalb County,1049,16.01,14.77,17.34
Elmore County,1051,15.67,14.10,17.33
Escambia County,1053,17.65,16.52,18.86
Etowah County,1055,16.24,15.58,16.94
Fayette County,1057,16.35,15.56,17.19
Franklin County,1059,16.23,15.26,17.26
Geneva County,1061,15.88,14.80,17.02
Greene County,1063,23.70,24.33,23.03
Hale County,1065,20.44,20.06,20.86
Henry County,1067,16.77,15.46,18.17
Houston County,1069,15.61,14.74,16.53
Jackson County,1071,15.30,13.95,16.74
Jefferson County,1073,16.10,15.42,16.83
Lamar County,1075,16.31,15.36,17.33
Lauderdale County,1077,15.19,13.92,16.54
Lawrence County,1079,17.25,16.74,17.80
Lee County,1081,15.98,14.70,17.33
Limestone County,1083,15.56,14.38,16.80
Lowndes County,1085,22.47,23.04,21.86
Macon County,1087,22.98,23.51,22.42
Madison County,1089,14.57,13.80,15.39
Marengo County,1091,19.43,19.02,19.88
Marion County,1093,15.52,14.08,17.05
Marshall County,1095,16.08,14.56,17.69
Mobile County,1097,17.05,16.61,17.52
Monroe County,1099,18.04,17.17,18.96
Montgomery County,1101,17.94,17.31,18.62
Morgan County,1103,15.97,15.01,17
Perry County,1105,23.4,24.32,22.43
Pickens County,1107,19.11,18.89,19.34
Pike County,1109,17.83,16.87,18.84
Randolph County,1111,16.49,15.19,17.87
Russell County,1113,19.44,18.39,20.56
Saint Clair County,1115,14.93,13.57,16.37
Shelby County,1117,12.26,10.72,13.9
Sumter County,1119,24.33,25.67,22.91
Talladega County,1121,17.15,15.61,18.78
Tallapoosa County,1123,16.41,15.15,17.75
Tuscaloosa County,1125,16.04,14.78,17.39
Walker County,1127,15.71,14.77,16.72
Washington County,1129,17.87,16.95,18.84
Wilcox County,1131,23.12,23.55,22.67
Winston County,1133,15.95,15.07,16.9
Alaska,2,11.89,12.04,11.74
Aleutians East Borough,2013,15.63,18.58,12.49
Aleutians West Census Area,2016,15.63,18.58,12.49
Anchorage Municipality,2020,12.22,12.45,11.98
Bethel Census Area,2050,17.93,21.43,14.2
Bristol Bay Borough,2060,13.69,13.94,13.43
Denali Borough,2068,14.48,16.17,12.67
Dillingham Census Area,2070,16.28,18.3,14.13
Fairbanks North Star Borough,2090,10.42,10.34,10.5
Haines Borough,2100,9.72,8.77,10.75
Hoonah-Angoon Census Area,2105,11.81,11.86,11.75
Juneau City and Borough,2110,10.23,9.99,10.48
Kenai Peninsula Borough,2122,10.53,10.24,10.85
Ketchikan Gateway Borough,2130,11.77,11.33,12.23
Kodiak Island Borough,2150,12.01,12.29,11.72
Kusilvak Census Area,2158,18.54,22.33,14.5
Lake and Peninsula Borough,2164,16.28,18.3,14.13
Matanuska-Susitna Borough,2170,11.4,10.7,12.15
