FIPS,State,County,Total.male.hypert,total.female.hypert
1001,Alabama,Autauga County,0.3887,0.418
1003,Alabama,Baldwin County,0.3679,0.3942
1005,Alabama,Barbour County,0.4763,0.4901
1007,Alabama,Bibb County,0.4328,0.4668
1009,Alabama,Blount County,0.408,0.428
1011,Alabama,Bullock County,0.5112,0.5404
1013,Alabama,Butler County,0.4595,0.482
1015,Alabama,Calhoun County,0.4382,0.4468
1017,Alabama,Chambers County,0.4528,0.4832
1019,Alabama,Cherokee County,0.428,0.4435
1021,Alabama,Chilton County,0.4152,0.4394
1023,Alabama,Choctaw County,0.4626,0.482
1025,Alabama,Clarke County,0.4644,0.489
1027,Alabama,Clay County,0.4196,0.4383
1029,Alabama,Cleburne County,0.4169,0.4316
1031,Alabama,Coffee County,0.4115,0.4228
1033,Alabama,Colbert County,0.4117,0.4495
1035,Alabama,Conecuh County,0.4523,0.4767
1037,Alabama,Coosa County,0.4443,0.472
1039,Alabama,Covington County,0.4158,0.4237
1041,Alabama,Crenshaw County,0.4354,0.4522
1043,Alabama,Cullman County,0.4028,0.4193
1045,Alabama,Dale County,0.4213,0.43
1047,Alabama,Dallas County,0.4914,0.5305
1049,Alabama,DeKalb County,0.4112,0.4346
1051,Alabama,Elmore County,0.4014,0.4278
1053,Alabama,Escambia County,0.4313,0.4637
1055,Alabama,Etowah County,0.434,0.4394
1057,Alabama,Fayette County,0.4136,0.454
1059,Alabama,Franklin County,0.4111,0.4452
1061,Alabama,Geneva County,0.4154,0.4289
1063,Alabama,Greene County,0.5085,0.5508
1065,Alabama,Hale County,0.4794,0.524
1067,Alabama,Henry County,0.4346,0.4507
1069,Alabama,Houston County,0.4153,0.4288
1071,Alabama,Jackson County,0.3941,0.4217
1073,Alabama,Jefferson County,0.4164,0.4542
1075,Alabama,Lamar County,0.4132,0.4461
1077,Alabama,Lauderdale County,0.384,0.423
1079,Alabama,Lawrence County,0.419,0.4536
1081,Alabama,Lee County,0.3971,0.435
1083,Alabama,Limestone County,0.4023,0.4253
1085,Alabama,Lowndes County,0.4995,0.5377
1087,Alabama,Macon County,0.5252,0.557
1089,Alabama,Madison County,0.3732,0.4006
1091,Alabama,Marengo County,0.4556,0.5026
1093,Alabama,Marion County,0.4154,0.4512
1095,Alabama,Marshall County,0.3984,0.4123
1097,Alabama,Mobile County,0.4195,0.4476
1099,Alabama,Monroe County,0.4387,0.4714
1101,Alabama,Montgomery County,0.4234,0.4489
1103,Alabama,Morgan County,0.395,0.4133
1105,Alabama,Perry County,0.5033,0.5453
1107,Alabama,Pickens County,0.4582,0.4913
1109,Alabama,Pike County,0.4474,0.4598
1111,Alabama,Randolph County,0.4288,0.4464
1113,Alabama,Russell County,0.445,0.4764
1115,Alabama,St. Clair County,0.4246,0.4319
1117,Alabama,Shelby County,0.343,0.3615
1119,Alabama,Sumter County,0.5184,0.5486
1121,Alabama,Talladega County,0.4581,0.4688
1123,Alabama,Tallapoosa County,0.4143,0.4439
1125,Alabama,Tuscaloosa County,0.4143,0.4447
1127,Alabama,Walker County,0.4136,0.4531
1129,Alabama,Washington County,0.4338,0.4625
1131,Alabama,Wilcox County,0.5054,0.545
1133,Alabama,Winston County,0.4174,0.4456
2013,Alaska,Aleutians East Borough,0.3853,0.4351
2016,Alaska,Aleutians West Census Area,0.3636,0.4096
2020,Alaska,Anchorage Municipality,0.3347,0.3618
2050,Alaska,Bethel Census Area,0.3565,0.4174
2060,Alaska,Bristol Bay Borough,0.3597,0.391
2068,Alaska,Denali Borough,0.3521,0.3944
2070,Alaska,Dillingham Census Area,0.3455,0.4
2090,Alaska,Fairbanks North Star Borough,0.3425,0.3593
2100,Alaska,Haines Borough,0.3184,0.3556
2110,Alaska,Juneau City and Borough,0.3167,0.3497
2122,Alaska,Kenai Peninsula Borough,0.3401,0.3764
2130,Alaska,Ketchikan Gateway Borough,0.3531,0.3796
2150,Alaska,Kodiak Island Borough,0.3361,0.372
2164,Alaska,Lake and Peninsula Borough,0.3621,0.4109
2170,Alaska,Matanuska-Susitna Borough,0.3464,0.3827
2180,Alaska,Nome Census Area,0.3466,0.4041
2185,Alaska,North Slope Borough,0.3377,0.3879
2188,Alaska,Northwest Arctic Borough,0.35,0.4033
2201,Alaska,Prince of Wales-Outer Ketchikan Census Area,0.3531,0.3796
2220,Alaska,Sitka City and Borough,0.3328,0.354
2232,Alaska,Skagway-Hoonah-Angoon Census Area,0.3562,0.3874
2240,Alaska,Southeast Fairbanks Census Area,0.3434,0.3789
2261,Alaska,Valdez-Cordova Census Area,0.329,0.3702
2270,Alaska,Wade Hampton Census Area,0.3746,0.4373
2280,Alaska,Wrangell-Petersburg Census Area,0.3531,0.3796
2282,Alaska,Yakutat City and Borough,0.3718,0.403
2290,Alaska,Yukon-Koyukuk Census Area,0.3521,0.3944
4001,Arizona,Apache County,0.3818,0.4096
4003,Arizona,Cochise County,0.3677,0.383
4005,Arizona,Coconino County,0.3201,0.3431
4007,Arizona,Gila County,0.3604,0.3853
4009,Arizona,Graham County,0.3715,0.4068
4011,Arizona,Greenlee County,0.3475,0.3875
4012,Arizona,La Paz County,0.3712,0.4002
4013,Arizona,Maricopa County,0.3362,0.3584
4015,Arizona,Mohave County,0.3645,0.3778
4017,Arizona,Navajo County,0.369,0.3989
4019,Arizona,Pima County,0.3504,0.369
4021,Arizona,Pinal County,0.3772,0.3902
4023,Arizona,Santa Cruz County,0.3507,0.3756
4025,Arizona,Yavapai County,0.3312,0.349
4027,Arizona,Yuma County,0.3644,0.3933
5001,Arkansas,Arkansas County,0.4057,0.4337
5003,Arkansas,Ashley County,0.4152,0.451
5005,Arkansas,Baxter County,0.3671,0.3984
5007,Arkansas,Benton County,0.3613,0.3733
5009,Arkansas,Boone County,0.3648,0.3904
5011,Arkansas,Bradley County,0.4109,0.4513
5013,Arkansas,Calhoun County,0.4225,0.4552
5015,Arkansas,Carroll County,0.3659,0.3872
5017,Arkansas,Chicot County,0.4618,0.5046
5019,Arkansas,Clark County,0.4081,0.4233
5021,Arkansas,Clay County,0.4078,0.4235
5023,Arkansas,Cleburne County,0.3825,0.4005
5025,Arkansas,Cleveland County,0.4,0.4249
5027,Arkansas,Columbia County,0.4331,0.4561
5029,Arkansas,Conway County,0.4006,0.42
5031,Arkansas,Craighead County,0.3851,0.3996
5033,Arkansas,Crawford County,0.4061,0.4207
5035,Arkansas,Crittenden County,0.4626,0.4915
5037,Arkansas,Cross County,0.4238,0.4486
5039,Arkansas,Dallas County,0.4418,0.4646
5041,Arkansas,Desha County,0.4493,0.4826
5043,Arkansas,Drew County,0.4086,0.4409
5045,Arkansas,Faulkner County,0.3676,0.386
5047,Arkansas,Franklin County,0.4033,0.4145
5049,Arkansas,Fulton County,0.3965,0.4203
5051,Arkansas,Garland County,0.3823,0.4017
5053,Arkansas,Grant County,0.3863,0.4053
5055,Arkansas,Greene County,0.3864,0.4128
5057,Arkansas,Hempstead County,0.4273,0.4692
5059,Arkansas,Hot Spring County,0.4023,0.4102
5061,Arkansas,Howard County,0.397,0.4396
5063,Arkansas,Independence County,0.3813,0.4143
5065,Arkansas,Izard County,0.3868,0.4143
5067,Arkansas,Jackson County,0.4249,0.4463
5069,Arkansas,Jefferson County,0.4502,0.475
5071,Arkansas,Johnson County,0.3813,0.4065
5073,Arkansas,Lafayette County,0.4474,0.4754
5075,Arkansas,Lawrence County,0.4147,0.4356
5077,Arkansas,Lee County,0.5127,0.5347
5079,Arkansas,Lincoln County,0.4661,0.4857
5081,Arkansas,Little River County,0.4001,0.4411
5083,Arkansas,Logan County,0.4065,0.4248
5085,Arkansas,Lonoke County,0.3934,0.4143
5087,Arkansas,Madison County,0.3948,0.4069
5089,Arkansas,Marion County,0.3849,0.4051
5091,Arkansas,Miller County,0.4169,0.4409
5093,Arkansas,Mississippi County,0.4415,0.4597
5095,Arkansas,Monroe County,0.4636,0.4849
5097,Arkansas,Montgomery County,0.4008,0.4178
5099,Arkansas,Nevada County,0.4287,0.4601
5101,Arkansas,Newton County,0.3955,0.4146
5103,Arkansas,Ouachita County,0.441,0.4728
5105,Arkansas,Perry County,0.393,0.4184
5107,Arkansas,Phillips County,0.4855,0.5098
5109,Arkansas,Pike County,0.3854,0.4124
5111,Arkansas,Poinsett County,0.4316,0.4514
5113,Arkansas,Polk County,0.389,0.4175
5115,Arkansas,Pope County,0.3716,0.3927
5117,Arkansas,Prairie County,0.4117,0.4316
5119,Arkansas,Pulaski County,0.3854,0.4206
5121,Arkansas,Randolph County,0.3938,0.4157
5123,Arkansas,St. Francis County,0.4687,0.5007
5125,Arkansas,Saline County,0.3674,0.3906
5127,Arkansas,Scott County,0.4089,0.4234
5129,Arkansas,Searcy County,0.4008,0.4206
5131,Arkansas,Sebastian County,0.3975,0.4039
5133,Arkansas,Sevier County,0.3803,0.4344
5135,Arkansas,Sharp County,0.3998,0.4194
5137,Arkansas,Stone County,0.39,0.4135
5139,Arkansas,Union County,0.4161,0.4497
5141,Arkansas,Van Buren County,0.387,0.4001
5143,Arkansas,Washington County,0.3674,0.3866
5145,Arkansas,White County,0.3886,0.4059
5147,Arkansas,Woodruff County,0.4461,0.4649
5149,Arkansas,Yell County,0.3759,0.4103
6001,California,Alameda County,0.3319,0.3774
6003,California,Alpine County,0.3566,0.3783
6005,California,Amador County,0.3648,0.3857
6007,California,Butte County,0.3594,0.3807
6009,California,Calaveras County,0.3645,0.385
6011,California,Colusa County,0.3498,0.3898
6013,California,Contra Costa County,0.3336,0.3624
6015,California,Del Norte County,0.3772,0.4041
6017,California,El Dorado County,0.3441,0.3574
6019,California,Fresno County,0.3622,0.3953
6021,California,Glenn County,0.3659,0.4031
6023,California,Humboldt County,0.3555,0.375
6025,California,Imperial County,0.3539,0.3915
6027,California,Inyo County,0.351,0.3828
6029,California,Kern County,0.3731,0.402
6031,California,Kings County,0.3679,0.4012
6033,California,Lake County,0.392,0.4082
6035,California,Lassen County,0.3765,0.3958
6037,California,Los Angeles County,0.3482,0.3848
6039,California,Madera County,0.3671,0.4023
6041,California,Marin County,0.3075,0.2968
6043,California,Mariposa County,0.3541,0.3762
6045,California,Mendocino County,0.3579,0.3815
6047,California,Merced County,0.3733,0.4127
6049,California,Modoc County,0.376,0.3973
6051,California,Mono County,0.3367,0.3667
6053,California,Monterey County,0.3436,0.3809
6055,California,Napa County,0.3312,0.3581
6057,California,Nevada County,0.3447,0.3572
6059,California,Orange County,0.3232,0.3556
6061,California,Placer County,0.3285,0.3457
6063,California,Plumas County,0.3383,0.3762
6065,California,Riverside County,0.3674,0.3874
6067,California,Sacramento County,0.3618,0.3866
6069,California,San Benito County,0.3427,0.3943
6071,California,San Bernardino County,0.3606,0.382
6073,California,San Diego County,0.3199,0.3591
6075,California,San Francisco County,0.337,0.3498
6077,California,San Joaquin County,0.3544,0.388
6079,California,San Luis Obispo County,0.3563,0.372
6081,California,San Mateo County,0.3173,0.3451
6083,California,Santa Barbara County,0.3244,0.3612
6085,California,Santa Clara County,0.3125,0.3403
6087,California,Santa Cruz County,0.3234,0.3515
6089,California,Shasta County,0.3675,0.3876
6091,California,Sierra County,0.3583,0.3811
6093,California,Siskiyou County,0.3608,0.3859
6095,California,Solano County,0.3672,0.3787
6097,California,Sonoma County,0.3294,0.3509
6099,California,Stanislaus County,0.3612,0.3955
6101,California,Sutter County,0.3622,0.3866
6103,California,Tehama County,0.3815,0.3928
6105,California,Trinity County,0.3704,0.3917
6107,California,Tulare County,0.3574,0.3984
6109,California,Tuolumne County,0.3681,0.3929
6111,California,Ventura County,0.337,0.3619
6113,California,Yolo County,0.3414,0.3667
6115,California,Yuba County,0.3879,0.4146
8001,Colorado,Adams County,0.3299,0.3464
8003,Colorado,Alamosa County,0.3339,0.3705
8005,Colorado,Arapahoe County,0.3282,0.3384
8007,Colorado,Archuleta County,0.3302,0.3531
8009,Colorado,Baca County,0.3609,0.4031
8011,Colorado,Bent County,0.3904,0.4147
8013,Colorado,Boulder County,0.3299,0.3464
8014,Colorado,Broomfield County,0.3299,0.3464
8015,Colorado,Chaffee County,0.3359,0.363
8017,Colorado,Cheyenne County,0.3716,0.3952
8019,Colorado,Clear Creek County,0.3294,0.3442
8021,Colorado,Conejos County,0.3437,0.3836
8023,Colorado,Costilla County,0.3588,0.3987
8025,Colorado,Crowley County,0.4395,0.4601
8027,Colorado,Custer County,0.3569,0.3721
8029,Colorado,Delta County,0.3331,0.381
8031,Colorado,Denver County,0.3499,0.3598
8033,Colorado,Dolores County,0.3555,0.3939
8035,Colorado,Douglas County,0.2785,0.293
8037,Colorado,Eagle County,0.2653,0.2945
8039,Colorado,Elbert County,0.3266,0.3386
8041,Colorado,El Paso County,0.3452,0.3518
8043,Colorado,Fremont County,0.3788,0.3889
8045,Colorado,Garfield County,0.323,0.3508
8047,Colorado,Gilpin County,0.3297,0.3581
8049,Colorado,Grand County,0.3134,0.3245
8051,Colorado,Gunnison County,0.2941,0.3209
8053,Colorado,Hinsdale County,0.3222,0.3367
8055,Colorado,Huerfano County,0.3669,0.3924
8057,Colorado,Jackson County,0.3482,0.3723
8059,Colorado,Jefferson County,0.3299,0.3464
8061,Colorado,Kiowa County,0.3754,0.398
8063,Colorado,Kit Carson County,0.3601,0.398
8065,Colorado,Lake County,0.3265,0.356
8067,Colorado,La Plata County,0.308,0.3183
8069,Colorado,Larimer County,0.3112,0.3366
8071,Colorado,Las Animas County,0.3538,0.389
8073,Colorado,Lincoln County,0.3408,0.3909
8075,Colorado,Logan County,0.3733,0.3997
8077,Colorado,Mesa County,0.3378,0.3631
8079,Colorado,Mineral County,0.3121,0.34
8081,Colorado,Moffat County,0.362,0.3764
8083,Colorado,Montezuma County,0.3438,0.3604
8085,Colorado,Montrose County,0.3452,0.3659
8087,Colorado,Morgan County,0.3472,0.3713
8089,Colorado,Otero County,0.3632,0.3989
8091,Colorado,Ouray County,0.3257,0.3444
8093,Colorado,Park County,0.3204,0.3444
8095,Colorado,Phillips County,0.3334,0.3609
8097,Colorado,Pitkin County,0.2779,0.2852
8099,Colorado,Prowers County,0.3736,0.4224
8101,Colorado,Pueblo County,0.3435,0.3729
8103,Colorado,Rio Blanco County,0.3412,0.3497
8105,Colorado,Rio Grande County,0.3346,0.3585
8107,Colorado,Routt County,0.2981,0.316
8109,Colorado,Saguache County,0.359,0.3902
8111,Colorado,San Juan County,0.3641,0.3791
8113,Colorado,San Miguel County,0.2828,0.3088
8115,Colorado,Sedgwick County,0.3656,0.3723
8117,Colorado,Summit County,0.274,0.3023
8119,Colorado,Teller County,0.3171,0.3395
8121,Colorado,Washington County,0.362,0.3807
8123,Colorado,Weld County,0.3299,0.3464
8125,Colorado,Yuma County,0.3551,0.3874
9001,Connecticut,Fairfield County,0.3332,0.3543
9003,Connecticut,Hartford County,0.359,0.3621
9005,Connecticut,Litchfield County,0.3307,0.3747
9007,Connecticut,Middlesex County,0.329,0.3703
9009,Connecticut,New Haven County,0.3622,0.3905
9011,Connecticut,New London County,0.3749,0.3693
9013,Connecticut,Tolland County,0.3546,0.3757
9015,Connecticut,Windham County,0.3855,0.3963
10001,Delaware,Kent County,0.4069,0.4069
10003,Delaware,New Castle County,0.3266,0.3949
10005,Delaware,Sussex County,0.3926,0.3639
11001,District Of Columbia,District of Columbia,0.4444,0.4756
12001,Florida,Alachua County,0.3665,0.3943
12003,Florida,Baker County,0.4311,0.4395
12005,Florida,Bay County,0.3817,0.4013
12007,Florida,Bradford County,0.4282,0.448
12009,Florida,Brevard County,0.3545,0.3765
12011,Florida,Broward County,0.3647,0.3841
12013,Florida,Calhoun County,0.4177,0.4371
12015,Florida,Charlotte County,0.3785,0.3854
12017,Florida,Citrus County,0.3648,0.3836
12019,Florida,Clay County,0.3778,0.3843
12021,Florida,Collier County,0.3432,0.3509
12023,Florida,Columbia County,0.4157,0.4206
12027,Florida,DeSoto County,0.3918,0.4183
12029,Florida,Dixie County,0.4054,0.4147
12031,Florida,Duval County,0.3979,0.4291
12033,Florida,Escambia County,0.3886,0.4135
12035,Florida,Flagler County,0.3642,0.3906
12037,Florida,Franklin County,0.3977,0.4422
12039,Florida,Gadsden County,0.4622,0.4825
12041,Florida,Gilchrist County,0.3907,0.4092
12043,Florida,Glades County,0.3979,0.4022
12045,Florida,Gulf County,0.4004,0.4351
12047,Florida,Hamilton County,0.4498,0.4823
12049,Florida,Hardee County,0.3932,0.4132
12051,Florida,Hendry County,0.3798,0.4195
12053,Florida,Hernando County,0.3886,0.379
12055,Florida,Highlands County,0.3883,0.4147
12057,Florida,Hillsborough County,0.3593,0.3768
12059,Florida,Holmes County,0.3944,0.4148
12061,Florida,Indian River County,0.3427,0.3631
12063,Florida,Jackson County,0.4261,0.4493
12065,Florida,Jefferson County,0.4241,0.4468
12067,Florida,Lafayette County,0.4147,0.434
12069,Florida,Lake County,0.3864,0.3859
12071,Florida,Lee County,0.3392,0.3698
12073,Florida,Leon County,0.3625,0.3845
12075,Florida,Levy County,0.3917,0.4138
12077,Florida,Liberty County,0.4115,0.433
12079,Florida,Madison County,0.4416,0.4738
12081,Florida,Manatee County,0.3617,0.3789
12083,Florida,Marion County,0.4108,0.3836
12085,Florida,Martin County,0.3289,0.3765
12086,Florida,Miami-Dade County,0.3432,0.356
12087,Florida,Monroe County,0.3695,0.3744
12089,Florida,Nassau County,0.377,0.4047
